X,Y,Shift,Age,Primary_fur_color,Location,Ground_Sighting_Measure,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from,Day,Plot_number,Section
-73.9694240327509,40.7755898126674,AM,Adult,Cinnamon,Ground Plane,0,False,False,False,True,True,False,False,False,False,False,False,True,False,7,13,F
-73.9689000978955,40.7828364735236,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,13,20,B
-73.9804528867547,40.7696753655986,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,False,17,3,A
-73.9576245992455,40.7873862510001,PM,Adult,Gray,Above Ground,50,False,False,True,False,False,False,False,False,False,False,False,True,False,6,29,H
-73.9666007935638,40.7845098131567,PM,Adult,Gray,Above Ground,8,False,True,False,False,False,False,False,False,False,False,False,False,False,14,23,C
-73.96148483609,40.7922645521905,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,True,False,True,False,7,33,C
-73.9546654184146,40.7947639241491,PM,Adult,Gray,Ground Plane,0,False,False,False,True,True,False,False,False,True,False,False,True,False,20,38,G
-73.9667114027214,40.7768804702473,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,17,16,G
-73.9530035564643,40.7921822457613,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,7,36,I
-73.9615696577673,40.7951278622399,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,14,35,A
-73.964474836001,40.7883840104749,PM,Adult,Gray,Ground Plane,0,False,False,False,False,False,False,False,False,True,False,False,False,True,6,28,C
-73.9610705592868,40.7914829661051,AM,Adult,Cinnamon,Ground Plane,0,True,False,False,True,True,False,False,False,False,True,True,False,False,13,32,D
-73.9688454483585,40.7845301288163,AM,Adult,Gray,Above Ground,3,False,False,False,True,False,False,False,False,True,False,False,False,True,8,22,A
-73.9578237168359,40.7980959471034,PM,Adult,Gray,Ground Plane,0,True,False,False,False,False,False,False,False,False,False,False,True,False,14,40,B
-73.9688271202401,40.7809719445309,PM,Adult,Gray,Ground Plane,0,True,True,False,True,False,False,False,False,False,True,False,True,False,18,19,C
-73.9617088749928,40.7944585082367,PM,Adult,Cinnamon,Ground Plane,0,True,False,False,False,False,False,False,False,False,False,False,False,True,13,35,A
-73.9701824825872,40.7766530579293,AM,Adult,Gray,Ground Plane,0,True,True,False,False,False,True,False,False,False,False,False,False,True,8,14,E
-73.9676410497481,40.7766043512974,PM,Adult,Gray,Above Ground,4,False,False,True,False,False,False,False,False,False,False,False,False,False,19,15,G
-73.9708726050721,40.7723572030236,AM,Adult,Gray,Above Ground,70,False,False,True,False,False,False,False,False,False,False,False,False,False,7,10,F
-73.9541453465817,40.7982162223764,PM,Adult,Cinnamon,Ground Plane,0,True,False,False,False,True,False,False,False,False,False,False,False,True,12,42,E
-73.9683608295976,40.7842927405327,AM,Adult,Cinnamon,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,True,13,22,B
-73.968052057989,40.777338666528,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,10,15,F
-73.9787180870736,40.7715877863274,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,True,False,False,False,True,6,5,A
-73.9565905868276,40.7895654068546,PM,Adult,Gray,Above Ground,10,False,False,True,False,False,False,False,False,False,False,False,False,False,6,32,H
-73.9565759733611,40.7992461674802,AM,Adult,Gray,Ground Plane,0,False,False,False,False,False,False,True,False,False,False,False,False,False,7,42,C
-73.9551539498306,40.7987384656256,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,14,41,D
-73.9641971813967,40.7813537959435,PM,Adult,Gray,Ground Plane,0,False,False,False,True,False,False,False,False,True,False,False,True,False,7,21,G
-73.9692883970928,40.7768553703082,AM,Adult,Gray,Ground Plane,0,True,False,False,False,True,False,False,False,False,False,False,False,True,8,14,E
-73.9708549670788,40.7699587019058,PM,Adult,Gray,Above Ground,12,False,False,False,False,False,False,False,False,False,False,False,True,False,6,7,H
-73.9639744005647,40.7825111950764,AM,Adult,Gray,Ground Plane,0,False,False,True,False,True,False,False,False,False,False,False,True,False,7,22,F
-73.9730277911422,40.7712145488828,AM,Juvenile,Gray,Above Ground,2,False,False,False,False,False,False,False,False,False,False,False,False,True,8,7,F
